Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P▼,3PA,3P%,2P,2PA,2P%
1,Stephen Curry,28,GSW,PG,79,79,2638,675,1443,0.468,324,789,0.411,351,654,0.537
2,Klay Thompson,26,GSW,SG,78,78,2649,644,1376,0.468,268,647,0.414,376,729,0.516
3,James Harden,27,HOU,PG,81,81,2947,674,1533,0.44,262,756,0.347,412,777,0.53
4,Eric Gordon,28,HOU,SG,75,15,2323,412,1016,0.406,246,661,0.372,166,355,0.468
5,Isaiah Thomas,27,BOS,PG,76,76,2569,682,1473,0.463,245,646,0.379,437,827,0.528
,,,,,,,,,,,,,,,,
