Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P▼,3PA,3P%,2P,2PA,2P%
1,Dorell Wright,25,GSW,SF,82,82,3147,485,1146,0.423,194,516,0.376,291,630,0.462
2,Jason Richardson,30,2TM,SG,80,80,2715,472,1056,0.447,189,479,0.395,283,577,0.49
3,Kevin Martin,27,HOU,SG,80,80,2603,553,1267,0.436,176,459,0.383,377,808,0.467
4,Channing Frye,27,PHO,PF,77,64,2541,358,829,0.432,171,439,0.39,187,390,0.479
5,Ray Allen,35,BOS,SG,80,80,2890,480,978,0.491,168,378,0.444,312,600,0.52
,,,,,,,,,,,,,,,,
