Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P▼,3PA,3P%,2P,2PA,2P%
1,Jason Richardson,27,CHA,SF,82,82,3149,648,1468,0.441,243,599,0.406,405,869,0.466
2,Peja Stojaković,30,NOH,SF,77,77,2711,451,1026,0.44,231,524,0.441,220,502,0.438
3,Rashard Lewis,28,ORL,PF,81,81,3076,516,1135,0.455,226,553,0.409,290,582,0.498
4,Stephen Jackson,29,GSW,SF,73,73,2855,488,1204,0.405,182,501,0.363,306,703,0.435
5,Ray Allen,32,BOS,SG,73,73,2624,439,986,0.445,180,452,0.398,259,534,0.485
,,,,,,,,,,,,,,,,
