Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P▼,3PA,3P%,2P,2PA,2P%
1,Aaron Brooks,25,HOU,PG,82,82,2919,575,1331,0.432,209,525,0.398,366,806,0.454
2,Danilo Gallinari,21,NYK,SF,81,74,2747,392,927,0.423,186,488,0.381,206,439,0.469
3,Jason Kidd,36,DAL,PG,80,80,2881,284,671,0.423,176,414,0.425,108,257,0.42
4,Channing Frye,26,PHO,C,81,41,2190,317,703,0.451,172,392,0.439,145,311,0.466
5,Rashard Lewis,30,ORL,PF,72,72,2369,350,805,0.435,168,423,0.397,182,382,0.476
,,,,,,,,,,,,,,,,
