Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P▼,3PA,3P%,2P,2PA,2P%
1,Ryan Anderson,23,ORL,PF,61,61,1964,332,757,0.439,166,422,0.393,166,335,0.496
2,Jason Terry,34,DAL,SG,63,1,2000,357,830,0.43,138,365,0.378,219,465,0.471
3,Kevin Durant,23,OKC,SF,66,66,2546,643,1297,0.496,133,344,0.387,510,953,0.535
4,Steve Novak,28,NYK,PF,54,0,1020,161,337,0.478,133,282,0.472,28,55,0.509
5,Brandon Jennings,22,MIL,PG,66,66,2331,469,1121,0.418,129,388,0.332,340,733,0.464
,,,,,,,,,,,,,,,,
