Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P▼,3PA,3P%,2P,2PA,2P%
1,Stephen Curry,27,GSW,PG,79,79,2700,805,1598,0.504,402,886,0.454,403,712,0.566
2,Klay Thompson,25,GSW,SG,80,80,2666,651,1386,0.47,276,650,0.425,375,736,0.51
3,James Harden,26,HOU,SG,82,82,3125,710,1617,0.439,236,657,0.359,474,960,0.494
4,Damian Lillard,25,POR,PG,75,75,2676,618,1474,0.419,229,610,0.375,389,864,0.45
5,Kyle Lowry,29,TOR,PG,77,77,2851,512,1198,0.427,212,547,0.388,300,651,0.461
,,,,,,,,,,,,,,,,
