Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P▼,3PA,3P%,2P,2PA,2P%
1,Stephen Curry,26,GSW,PG,80,80,2613,653,1341,0.487,286,646,0.443,367,695,0.528
2,Klay Thompson,24,GSW,SG,77,77,2455,602,1299,0.463,239,545,0.439,363,754,0.481
3,Kyle Korver,33,ATL,SG,75,75,2418,292,600,0.487,221,449,0.492,71,151,0.47
4,James Harden,25,HOU,SG,81,81,2981,647,1470,0.44,208,555,0.375,439,915,0.48
5,JJ Redick,30,LAC,SG,78,78,2409,447,938,0.477,200,458,0.437,247,480,0.515
,,,,,,,,,,,,,,,,
