Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P▼,3PA,3P%,2P,2PA,2P%
1,Gilbert Arenas,25,WAS,PG,74,73,2942,647,1548,0.418,205,584,0.351,442,964,0.459
2,Raja Bell,30,PHO,SG,78,78,2917,410,950,0.432,205,496,0.413,205,454,0.452
3,Mike Miller,26,MEM,SG,70,69,2740,465,1010,0.46,202,498,0.406,263,512,0.514
4,Rafer Alston,30,HOU,PG,82,82,3040,383,1020,0.375,192,529,0.363,191,491,0.389
5,Leandro Barbosa,24,PHO,SG,80,18,2613,529,1111,0.476,190,438,0.434,339,673,0.504
,,,,,,,,,,,,,,,,
