Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P▼,3PA,3P%,2P,2PA,2P%
1,James Harden,29,HOU,PG,78,78,2867,843,1909,0.442,378,1028,0.368,465,881,0.528
2,Stephen Curry,30,GSW,PG,69,69,2331,632,1340,0.472,354,810,0.437,278,530,0.525
3,Paul George,28,OKC,SF,77,77,2841,707,1614,0.438,292,757,0.386,415,857,0.484
4,Buddy Hield,26,SAC,SG,82,82,2615,623,1360,0.458,278,651,0.427,345,709,0.487
5,Kemba Walker,28,CHO,PG,82,82,2863,731,1684,0.434,260,731,0.356,471,953,0.494
,,,,,,,,,,,,,,,,
