Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P▼,3PA,3P%,2P,2PA,2P%
1,Stephen Curry,24,GSW,PG,78,78,2983,626,1388,0.451,272,600,0.453,354,788,0.449
2,Ryan Anderson,24,NOH,PF,81,22,2503,472,1115,0.423,213,557,0.382,259,558,0.464
3,Klay Thompson,22,GSW,SG,82,82,2936,508,1205,0.422,211,526,0.401,297,679,0.437
4,Kyle Korver,31,ATL,SF,74,60,2259,277,601,0.461,189,414,0.457,88,187,0.471
5,Damian Lillard,22,POR,PG,82,82,3167,553,1288,0.429,185,503,0.368,368,785,0.469
,,,,,,,,,,,,,,,,
