Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P▼,3PA,3P%,2P,2PA,2P%
1,Rashard Lewis,29,ORL,PF,79,79,2859,478,1089,0.439,220,554,0.397,258,535,0.482
2,Ray Allen,33,BOS,SG,79,79,2876,499,1040,0.48,199,486,0.409,300,554,0.542
3,Mo Williams,26,CLE,PG,81,81,2834,526,1126,0.467,183,420,0.436,343,706,0.486
4,Danny Granger,25,IND,SF,67,66,2424,571,1277,0.447,182,450,0.404,389,827,0.47
5,J.R. Smith,23,DEN,SG,81,18,2245,424,950,0.446,180,453,0.397,244,497,0.491
