Rk,team,W,L,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Golden State Warriors*,67,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,San Antonio Spurs*,61,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Houston Rockets*,55,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Toronto Raptors*,51,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Los Angeles Clippers*,51,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Utah Jazz*,51,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Cleveland Cavaliers*,51,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Boston Celtics*,53,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Washington Wizards*,49,33,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Miami Heat,41,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Oklahoma City Thunder*,47,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Memphis Grizzlies*,43,39,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Denver Nuggets,40,42,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Chicago Bulls*,41,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Charlotte Hornets,36,46,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Indiana Pacers*,42,40,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Milwaukee Bucks*,42,40,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Portland Trail Blazers*,41,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Atlanta Hawks*,43,39,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Detroit Pistons,37,45,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Minnesota Timberwolves,31,51,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,New Orleans Pelicans,34,48,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Dallas Mavericks,33,49,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,New York Knicks,31,51,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Sacramento Kings,32,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Phoenix Suns,24,58,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Philadelphia 76ers,28,54,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Brooklyn Nets,20,62,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Orlando Magic,29,53,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Los Angeles Lakers,26,56,,,,,,,,,,,,,,,,,,,,,,,,,,,
,League Average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
