Rk,team,W,L,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,San Antonio Spurs*,67,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Golden State Warriors*,73,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Oklahoma City Thunder*,55,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Cleveland Cavaliers*,57,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Toronto Raptors*,56,26,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Los Angeles Clippers*,53,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Atlanta Hawks*,48,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Boston Celtics*,48,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Charlotte Hornets*,48,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Utah Jazz,40,42,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Miami Heat*,48,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Indiana Pacers*,45,37,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Portland Trail Blazers*,44,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Detroit Pistons*,44,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Houston Rockets*,41,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Dallas Mavericks*,42,40,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Washington Wizards,41,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Chicago Bulls,42,40,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Orlando Magic,35,47,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Sacramento Kings,33,49,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Memphis Grizzlies*,42,40,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,New York Knicks,32,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Denver Nuggets,33,49,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Minnesota Timberwolves,29,53,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,New Orleans Pelicans,30,52,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Milwaukee Bucks,33,49,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Phoenix Suns,23,59,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Brooklyn Nets,21,61,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Los Angeles Lakers,17,65,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Philadelphia 76ers,10,72,,,,,,,,,,,,,,,,,,,,,,,,,,,
,League Average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
